ASNNumber;Номенклатура;Машина;Qty ASN;ДП/МП;Паллет №;Приоритет;Факт;Остаток;Часы;Статус;Приемка до;Месяц;Тип
DPS051847;Diag Biofinity Toric (1pk);26_006;1;ДП;10;;0;1;0,0;В приемке;30.06.2026;01.06.2026;1pk
DPS051847;iWear activ astigmatism (30 pk);26_006;2;ДП;10;;2;0;0,0;Закрыто;;-;Сложные
DPS051847;WB Comfilcon A toric BF (3pk);26_006;2;ДП;10;;2;0;0,0;Закрыто;;-;Сложные
DPS051847;WB Fanfilcon A toric (6pk);26_006;1;ДП;10;;1;0;0,0;Закрыто;;-;Сложные
DPS051318;Avaira Vitality toric (6pk);26_006;537;ДП;6;;537;0;0,0;Закрыто;;-;Сложные
DPS051318;Biofinity multifocal (3 pk);26_006;4 223;ДП;6;;4223;0;0,0;Закрыто;;-;Сложные
DPS051318;Clariti 1 Day toric (30pk);26_006;103;ДП;6;;103;0;0,0;Закрыто;;-;Сложные
DPS051318;iWear activ astigmatism (30 pk);26_006;6;ДП;6;;6;0;0,0;Закрыто;;-;Сложные
DPS051318;WB Fanfilcon A toric (6pk);26_006;951;ДП;6;;951;0;0,0;Закрыто;;-;Сложные
DPS051318;Diag Clariti 1day  multifocal (5pk) (new);26_006;102;ДП;6;;102;0;0,0;Закрыто;;-;Сложные
DPS051318;Diag MyDay Multifocal (5pk);26_006;362;ДП;6;;362;0;0,0;Закрыто;;-;Сложные
DPS051318;Clariti 1 Day (90pk);26_006;480;ДП;6;;480;0;0,0;Закрыто;;-;Сфера
DPS051318;WB Stenfilcon A toric 54% 1 Day MD (30pk);26_006;50;ДП;6;;50;0;0,0;Закрыто;;-;Сложные
DPS051319;Avaira Vitality toric (6pk);26_006;120;ДП;8;;115;5;0,0;В приемке;30.06.2026;01.06.2026;Сложные
DPS051319;Clariti 1 Day toric (30pk);26_006;21;ДП;8;;20;1;0,0;В приемке;30.06.2026;01.06.2026;Сложные
DPS051319;Diag Biofinity Toric (1pk);26_006;225;ДП;8;;225;0;0,0;Закрыто;;-;1pk
DPS051319;Diag MyDay Toric (5pk);26_006;44;ДП;8;;44;0;0,0;Закрыто;;-;Сложные
DPS051319;WB Comfilcon A toric BF (3pk);26_006;7;ДП;8;;7;0;0,0;Закрыто;;-;Сложные
DPS051319;WB Fanfilcon A toric (6pk);26_006;264;ДП;8;;262;2;0,0;В приемке;30.06.2026;01.06.2026;Сложные
DPS051319;WB Somofilcon A toric 56% 1 Day (30pk);26_006;21;ДП;8;;21;0;0,0;Закрыто;;-;Сложные
DPS051319;MyDay Toric (30pk);26_006;19;ДП;8;;19;0;0,0;Закрыто;;-;Сложные
DPS051843;Avaira Vitality (6pk);26_006;607;ДП;10;;607;0;0,0;Закрыто;;-;Сфера
DPS051843;Avaira Vitality toric (6pk);26_006;5 286;ДП;10;;5264;22;0,2;В приемке;30.06.2026;01.06.2026;Сложные
DPS051843;Clariti 1 Day toric (30pk);26_006;866;ДП;10;;866;0;0,0;Закрыто;;-;Сложные
DPS051843;Diag Biofinity Multifocal (1pk);26_006;659;ДП;10;;0;659;13,2;В приемке;30.06.2026;01.06.2026;1pk
DPS051843;iWear activ astigmatism (30 pk);26_006;76;ДП;10;;76;0;0,0;Закрыто;;-;Сложные
DPS051843;WB Fanfilcon A toric (6pk);26_006;1 105;ДП;10;;1105;0;0,0;Закрыто;;-;Сложные
DPS051843;Clariti 1 Day (90pk);26_006;175;ДП;10;;175;0;0,0;Закрыто;;-;Сфера
DPS051843;MyDay Toric (30pk);26_006;37;ДП;10;;37;0;0,0;Закрыто;;-;Сложные
DPS051843;WB Stenfilcon A toric 54% 1 Day MD (30pk);26_006;58;ДП;10;;58;0;0,0;Закрыто;;-;Сложные
DPS050990;Biofinity XR Toric (3pk);26_006;127;ДП;4;;127;0;0,0;Закрыто;;-;Сложные
DPS051270;Biofinity XR Toric (3pk);26_006;178;ДП;6;;178;0;0,0;Закрыто;;-;Сложные
